DATA_LECTURA,DateTime,CodiEstacio,RelativeHumidityMax,Wind,WindDirection,Temperature,RelativeHumidity,Rain,Irradiance,TemperatureMax,TemperatureMin,RelativeHumidityMin,50,51,RainMax
2025-01-01 17:30:00,2025-01-01 17:30:00,XV,87.0,0.3,283.0,7.3,85.0,0.0,-3.0,7.7,6.6,84.0,1.0,258.0,0.0
2025-01-01 18:00:00,2025-01-01 18:00:00,XV,88.0,1.1,304.0,6.4,87.0,0.0,-3.0,6.8,6.1,85.0,1.8,301.0,0.0
2025-01-01 18:30:00,2025-01-01 18:30:00,XV,90.0,0.2,299.0,6.3,88.0,0.0,-3.0,6.6,5.8,86.0,1.4,305.0,0.0
2025-01-01 19:00:00,2025-01-01 19:00:00,XV,92.0,0.5,272.0,5.5,91.0,0.0,-2.0,5.8,5.3,89.0,1.3,267.0,0.0
2025-01-01 19:30:00,2025-01-01 19:30:00,XV,92.0,0.7,265.0,5.5,90.0,0.0,-2.0,5.9,5.2,89.0,1.5,269.0,0.0
2025-01-01 20:00:00,2025-01-01 20:00:00,XV,92.0,0.9,248.0,5.4,91.0,0.0,-2.0,5.6,5.2,89.0,2.4,243.0,0.0
2025-01-01 20:30:00,2025-01-01 20:30:00,XV,90.0,1.1,260.0,5.1,90.0,0.0,-2.0,5.4,5.0,89.0,2.8,260.0,0.0
2025-01-01 21:00:00,2025-01-01 21:00:00,XV,90.0,0.9,238.0,4.9,89.0,0.0,-2.0,5.1,4.6,,,,
