ID,CODI_ESTACIO,CODI_VARIABLE,DATA_LECTURA,DATA_EXTREM,VALOR_LECTURA,CODI_ESTAT,CODI_BASE
X2400303201930,X2,40,3/3/20 19:30,3/3/20 19:41,15.9,V,SH
X2400303202000,X2,40,3/3/20 20:00,3/3/20 20:19,15.6,V,SH
X2400303202030,X2,40,3/3/20 20:30,3/3/20 20:30,15.1,V,SH
X2400303202100,X2,40,3/3/20 21:00,3/3/20 21:29,15.1,V,SH
X2400303202130,X2,40,3/3/20 21:30,3/3/20 21:30,15.1,V,SH
X2400303202200,X2,40,3/3/20 22:00,3/3/20 22:04,14.7,V,SH
X2400303202230,X2,40,3/3/20 22:30,3/3/20 22:32,14.4,V,SH
X2400303202300,X2,40,3/3/20 23:00,3/3/20 23:03,13.7,V,SH
